-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2018 through 12/31/2023 in LST
Location: latitude  -1.2921   longitude 36.8219 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1642.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS2M,PRECTOTCORR
2018,1,1,5.9059,23.29,43.89,1.42,0.09
2018,1,2,5.7235,21.96,55.16,1.26,0.47
2018,1,3,4.7508,21.36,63.49,1.51,2.79
2018,1,4,2.6059,20.05,67.94,1.77,0.98
2018,1,5,5.303,21.42,54.26,2.04,0.01
2018,1,6,4.3778,21.1,54.54,2.49,0.02
2018,1,7,5.5075,21.46,49.68,1.2,0.01
2018,1,8,6.4584,22.85,43.55,1.32,0.0
2018,1,9,5.0174,22.77,43.4,1.05,0.13
2018,1,10,5.4146,21.63,54.8,2.05,0.26
2018,1,11,4.5228,20.96,52.39,3.24,0.15
2018,1,12,6.1332,20.82,51.87,3.58,0.01
2018,1,13,7.0099,20.84,45.5,3.65,0.0
2018,1,14,7.1568,22.09,36.56,2.78,0.02
2018,1,15,7.2218,22.25,35.01,2.98,0.0
2018,1,16,7.1347,21.85,41.26,3.07,0.0
2018,1,17,6.8095,22.49,48.7,3.05,0.12
2018,1,18,6.4697,22.96,47.1,2.78,0.0
2018,1,19,6.3024,22.63,53.7,3.71,0.02
2018,1,20,7.1861,22.18,56.55,4.27,0.07
2018,1,21,7.6025,21.59,49.04,4.02,0.03
2018,1,22,7.5372,21.34,47.52,4.52,0.0
2018,1,23,7.4803,21.7,48.05,4.13,0.0
2018,1,24,7.2017,21.76,51.94,3.03,0.06
2018,1,25,6.2143,22.31,53.8,2.71,1.55
2018,1,26,5.3167,22.38,57.27,2.29,0.7
2018,1,27,6.9178,22.68,52.38,3.53,0.02
2018,1,28,7.4923,22.56,49.88,2.9,0.03
2018,1,29,7.6968,22.78,42.81,3.12,0.0
2018,1,30,6.8839,23.25,40.89,3.26,0.0
2018,1,31,6.4519,22.38,51.64,4.02,0.04
2018,2,1,7.6118,22.45,55.79,4.39,0.0
2018,2,2,7.7438,21.85,59.76,4.43,0.0
2018,2,3,7.8506,21.96,52.01,4.04,0.0
2018,2,4,7.6656,22.25,49.11,3.91,0.0
2018,2,5,7.4323,22.24,57.36,4.36,0.33
2018,2,6,7.1246,21.95,55.56,4.6,0.05
2018,2,7,6.9751,21.43,47.59,4.9,0.01
2018,2,8,7.5026,21.2,35.58,4.2,0.0
2018,2,9,6.5534,21.42,40.16,3.92,0.0
2018,2,10,7.6493,21.38,47.62,4.29,0.06
2018,2,11,7.3493,21.57,60.81,4.5,0.24
2018,2,12,7.1009,21.06,54.42,4.46,0.02
2018,2,13,7.2641,21.49,48.89,4.71,0.01
2018,2,14,6.6173,21.59,61.91,4.23,0.43
2018,2,15,7.0918,21.78,58.72,4.36,0.01
2018,2,16,7.5514,21.95,56.77,4.13,0.02
2018,2,17,7.1354,21.57,57.48,3.99,0.01
2018,2,18,7.0442,21.96,56.69,3.84,0.01
2018,2,19,7.1441,23.07,55.01,3.64,0.03
2018,2,20,6.6115,22.34,58.38,3.72,4.07
2018,2,21,7.0834,23.63,51.31,3.73,0.01
2018,2,22,7.465,23.16,52.02,3.75,0.15
2018,2,23,7.5482,22.7,52.56,3.84,0.54
2018,2,24,7.6716,22.53,50.16,3.74,0.18
2018,2,25,7.5941,23.73,52.02,3.23,0.07
2018,2,26,7.7705,24.28,44.44,3.35,0.0
2018,2,27,7.3462,23.56,45.55,3.13,0.01
2018,2,28,6.8986,23.34,52.1,3.12,0.31
2018,3,1,5.375,20.46,70.54,2.24,4.17
2018,3,2,4.9267,19.94,72.36,2.5,3.18
2018,3,3,5.9078,20.26,75.34,1.32,14.55
2018,3,4,3.3362,18.45,82.43,1.28,20.23
2018,3,5,4.8718,19.84,75.04,1.47,19.47
2018,3,6,4.4234,18.37,83.23,1.61,8.98
2018,3,7,6.6115,18.97,76.29,1.53,2.36
2018,3,8,6.7522,21.2,69.47,2.99,0.0
2018,3,9,6.0912,21.49,68.99,2.23,0.5
2018,3,10,4.6171,20.56,70.25,1.26,3.21
2018,3,11,4.8214,20.24,73.86,0.7,1.36
2018,3,12,4.59,18.67,84.24,1.06,5.67
2018,3,13,3.4862,19.29,83.86,1.15,18.98
2018,3,14,6.1589,20.37,77.74,1.63,4.2
2018,3,15,2.2874,19.13,86.35,1.07,27.81
2018,3,16,4.3421,18.48,85.25,1.2,22.89
2018,3,17,5.052,18.97,84.93,1.19,5.58
2018,3,18,4.8106,19.33,83.15,1.39,5.69
2018,3,19,4.008,19.16,84.12,3.0,5.12
2018,3,20,5.2027,18.69,85.7,3.99,11.37
2018,3,21,5.7806,18.41,85.37,4.08,4.14
2018,3,22,6.4838,18.71,79.4,2.9,0.35
2018,3,23,7.5857,18.63,77.07,2.42,0.02
2018,3,24,7.4909,19.26,79.14,2.73,0.05
2018,3,25,6.6828,19.48,81.79,3.04,1.27
2018,3,26,5.6736,19.36,83.75,3.3,2.82
2018,3,27,6.3235,19.38,83.55,4.18,2.37
2018,3,28,6.0178,19.18,81.52,4.45,2.95
2018,3,29,5.6112,18.98,80.81,3.91,0.43
2018,3,30,6.0802,18.83,81.04,3.32,0.65
2018,3,31,5.9983,19.26,78.84,3.07,0.36
2018,4,1,5.9825,19.33,78.77,2.86,1.02
2018,4,2,4.9447,19.34,77.36,3.38,0.95
2018,4,3,5.3162,19.19,77.62,3.79,4.24
2018,4,4,6.0722,19.47,76.24,3.39,3.13
2018,4,5,6.2112,19.47,75.31,2.4,0.5
2018,4,6,5.3441,19.7,76.13,2.72,2.07
2018,4,7,5.5212,20.12,75.94,3.16,1.6
2018,4,8,5.3981,19.34,76.9,3.06,2.87
2018,4,9,6.1882,19.51,76.38,2.67,3.17
